Part,Cost,Link,Quantity,Reference Num
"PLA/ABS Filament (either work fine)",16.99,https://www.amazon.com/ELEGOO-Filament-Resistant-Toughness-Resistance/dp/B0F37VY5VZ/ref=sr_1_12,1 roll,1
M6 Coupling Nuts x4,25.16,https://www.amazon.com/uxcell-10pcs-M6x10x15mm-Coupling-Nuts/dp/B0F6N7XLS5/ref=sr_1_12,4,2
"Zinc-Plated Steel Coupling Nut
Low Strength, 3/8""-16 Thread Size, 1-1/8"" Long",16.5,https://www.mcmaster.com/90264A113/,25,3
M4 10mm Coupling Nuts,6.89,https://www.amazon.com/MECCANIXITY-Coupling-M4x0-7mm-Connector-Hardware/dp/B0DK9B5V27/ref=sr_1_6,1,4
"Assortment of Screws : 
Mcmaster - 
M6 50mm socket head cap 
M6 30mm socket head cap
M6 20mm socket head cap

Aliexpress -
M5 30mm socket head cap
M5 20mm socket head cap
M5 10mm socket head cap

M4 15mm socket head cap

M3 20mm socket head cap
M3 15mm socket head cap
M3 10mm socket head cap
M3 8mm socket head cap

m5 30mm roundhead aliexpress",75.87,"https://www.aliexpress.us/item/3256809207500690.html
https://www.aliexpress.us/item/3256806812715286.html 
https://www.mcmaster.com/91290A326/
https://www.mcmaster.com/91290A205/
https://www.mcmaster.com/91290A332/",1 of each,5
M3 T Nuts,4.99,https://www.amazon.com/HELIFOUNER-Pieces-2020-Aluminum-Profile/dp/B0B1LTNX7F/ref=sr_1_3,1,6
Threaded rods 400mm,14.93,https://www.homedepot.com/p/Everbilt-3-8-in-x-6-ft-Zinc-Plated-Steel-Coarse-Threaded-Rod-23031/332734180,"1 2ft 
1 6ft",7
Limit Switches,10.99,https://www.amazon.com/REIFENG-Mechanical-Endstop-Horizontal-Ramps1-4/dp/B07PCN6T6F/ref=sr_1_4,1,8
Nema17 Stepper Motor KIT + CNC Shield V3 Engraving Machine + A4988 Driver + 42 Stepper Motor Nema17 17Hs4401S With Wire,53.51,https://www.aliexpress.us/item/3256804512478212.html,1,9
24V DC power supply,6.07,https://www.amazon.com/Power-Supply-Adapter-Wall-Converter/dp/B0CNLR8ZYB/ref=sr_1_3,1,10
G-penny 800W 110V spindle + VFD + pump + clamp,288,https://gpennymachine.com/products/g-penny-0-8kw-er11-d65-220v-400hz-24000rpm-water-cooled-spinle-motor-with-inverter-bracket-water-pump-kit,1,11
Random bag of quick set concrete,6.27,https://www.lowes.com/pd/Sakrete-50-lb-Fast-Setting-Concrete-Mix/3338802?store_code=1921,1,12
"MGN12H rail and carriage 500mm
400mm",132.58,https://www.aliexpress.us/item/3256809265975522.html,2 of each,13
"SFU 1204 ball screw

500mm
400mm",131.06,"https://www.amazon.com/dp/B0B7RM9ZNH/ref=twister_B0CN99BC2K?_encoding=UTF8&th=1
https://www.amazon.com/dp/B09BR414X7/ref=twister_B0CN99BC2K?_encoding=UTF8&th=1","2 500mm 
1 400mm",14
"SFU 1204 ball screw w/ HGR 20CA rail and carriage
200mm",54.99,https://www.amazon.com/dp/B0CW9CVH1V/ref=twister_B0CW8Y79VN?_encoding=UTF8&th=1,1,15
"2020 Extruded Aluminum:
400mm
500mm
560mm",105.28,https://www.aliexpress.us/item/3256807923095651.html,"1 400mm
2 500mm
2 560mm",16
Frame rails and y axis brace,242.2,https://jlccnc.com/,2 frame rails 1 axis brace,17
MDF spoilboard,4.82,https://www.homedepot.com/p/ProWood-1-4-in-x-12-in-x-18-in-Medium-Density-Fiberboard-Project-Panel-420510/313763530,1,18
Aluminum parts,"242.2
(later machined )",https://www.midweststeelsupply.com/store/6061aluminumplate,"3

1 of 15x5.5

2 of 12.5x4",19
